Sample_label,depth_m,age_ka-BP,SiO2%,Al2O3%,TiO2%,Fe2O3%,MnO%,CaO%,MgO%,Na2O%,K2O%,P2O5%,Li_ppm,Be_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Tb_ppm,Gd_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm
"346-U1430B-10H-2,5-6",90.09,7555.63,58.26,10.07,0.5,3.25,0.03,0.44,1.58,3.39,1.89,0.2,50.65,1.8,14.62,152.19,93.35,11.96,77.15,95.94,178.11,100.98,115.51,25.31,87.09,8.34,16.69,0.32,1.75,2.96,6.6,1335.37,1.69,0.56,27.11,10.71,9.65,28.33,63.54,5.94,22.67,4.64,1.04,0.65,4.14,3.65,0.72,2.12,0.33,2.12,0.34
"346-U1430B-10H-5,49-50",95.03,7681.54,65.51,7.89,0.33,2.93,0.02,0.26,1.38,3.25,1.59,0.06,37.18,1.48,10.37,129.89,53.84,5.48,42.06,54.12,91.31,79.74,89.19,18.37,67.6,5.62,20.38,0.25,1.37,2.11,4.38,1635.02,1.37,0.4,19.4,5.85,6.91,17.03,40.39,4.3,16.28,3.26,0.79,0.51,3.16,2.87,0.6,1.69,0.27,1.73,0.28
"346-U1430A-11H-2,14-16",95.82,7701.8,63.65,9.83,0.39,4.09,0.03,0.38,1.69,3.2,1.94,0.07,51.49,2.26,12.67,136.89,69.73,9.85,52.92,75.7,150.63,86.25,101.37,19.82,83.06,7.94,32.64,0.16,1.59,2.2,6.13,1465.68,1.58,0.52,22.38,8.39,5.5,17.9,52.44,4.62,17.73,3.71,0.85,0.51,3.17,2.84,0.55,1.56,0.24,1.59,0.25
"346-U1430B-11H-5,45-46",105,7935.64,56.7,15.25,0.6,4.81,0.04,0.37,2.09,2.33,2.54,0.08,73.99,2.4,16.06,124.73,99.54,26.01,64.75,83.34,179.14,128.64,127.18,26.67,121.33,11.96,11.05,0.79,2.32,2.65,10.21,1841.21,2.58,0.74,30.77,13.15,9.48,30.89,88.13,7.83,28.86,5.85,1.29,0.78,5.02,4.45,0.88,2.5,0.4,2.65,0.4
"346-U1430A-12H-1,145-150",105.86,7957.56,58.59,13.41,0.52,4.82,0.03,0.44,2.02,3.02,2.41,0.08,62.68,2.43,15.08,140.42,125.2,25.96,65.62,75.16,187.36,107.48,110.99,21.79,113.59,9.31,13.57,0.17,2.01,2.53,6.88,1625.98,2.12,0.89,29.52,9.47,7.17,16.96,55.07,5.15,19.92,4.15,0.93,0.56,3.54,3.27,0.67,1.94,0.3,1.95,0.3
"346-U1430A-12H-2,10-12",105.99,7961,52.36,13.22,0.55,6.09,0.04,0.39,2,2.69,2.59,0.11,62.32,2.24,16.07,175.33,94.78,11.68,63.6,101.66,128.15,123,154.89,27.75,123.89,14.13,34.5,0.2,2.43,2.45,8.76,1854.63,2.68,0.96,32.99,10.76,6.74,35.67,68.96,7.13,26.37,5.28,1.2,0.74,4.67,4.23,0.85,2.4,0.38,2.42,0.37
"346-U1430B-12H-5,40-41",115.01,8189.93,68.42,7.13,0.29,2.73,0.02,0.29,1.27,3.3,1.33,0.05,31.82,1.38,8.83,76.3,192.49,10.51,332.21,46.56,234.17,61.29,119.07,13.41,68.77,6.09,35.22,1.07,1.23,1.44,4.4,2353.92,1.26,0.41,14.48,6.01,5.33,13.77,37,3.33,13.06,2.72,0.69,0.37,2.35,2.16,0.44,1.19,0.19,1.24,0.2
"346-U1430A-13H-2,14-16",116.29,8222.91,55.56,11.58,0.47,4.32,0.03,0.33,1.91,2.93,2.24,0.08,54.62,2.22,13.64,143.3,64.71,14.35,66.63,77.61,109.74,105.81,199.7,22.33,108.59,11.49,22.69,0.39,2.19,1.98,8.02,1465.52,2.43,0.78,23.85,9.99,8.46,26.31,61.96,6.29,23.99,4.74,1.05,0.66,4.17,3.7,0.74,2.08,0.33,2.03,0.32
"346-U1430B-13H-1,125-126",120.02,8318.45,57.37,15.18,0.58,5.14,0.03,0.33,2.08,2.12,2.66,0.08,69.69,2.3,16.61,125.77,99.14,20.77,56.16,75.26,172.67,130.12,107.83,21.13,120.12,11.54,5.6,0.49,2.2,2.79,8.04,3909,2.57,0.93,29.11,11.24,8.52,17.46,62.36,5.88,22.53,4.67,1.09,0.6,3.8,3.33,0.66,1.9,0.3,1.94,0.3
"346-U1430A-14H-1,145-150",126.03,8471.63,55.39,14.95,0.57,4.91,0.03,0.45,2.21,2.89,2.71,0.08,68.1,2.46,15.3,131.22,90.25,23.2,56.52,72.65,147.31,126.73,118.7,25.81,116.36,11.88,6.64,0.68,2.28,2.81,8.57,4674.06,2.53,0.69,33.22,11.95,11.53,34.74,74.22,7.03,28.28,5.72,1.33,0.76,4.75,4.31,0.84,2.43,0.37,2.41,0.39
"346-U1430A-14H-2,9-11",126.15,8474.81,52.21,14.43,0.57,6.16,0.04,0.43,2.24,2.71,2.67,0.09,76.63,2.47,17.56,133.09,74.68,15.83,71.56,84.84,152.81,143.14,128.97,26.06,125.1,10.31,13.26,0.24,2.39,3.13,8.83,3205.89,2.59,0.76,39.59,11.01,7.72,47.28,74.71,7.71,27.91,5.55,1.33,0.76,4.83,4.31,0.88,2.42,0.4,2.54,0.4
"346-U1430A-14H-5,5-6",130.61,8588.36,49.5,11.66,0.45,10.8,0.04,0.4,1.79,2.77,2.15,0.07,47.24,1.85,11.93,136.71,98.26,31.02,77.18,67.56,233.76,115.98,76.85,20.55,94.5,8.73,57.67,0.76,1.72,4.42,6.79,561.09,1.83,0.72,21.61,8.57,6.52,13.8,54.74,4.85,18.6,3.84,0.81,0.54,3.41,3.04,0.61,1.78,0.27,1.78,0.28
"346-U1430A-15H-2,12-14",136.1,8728.41,50.57,14.01,0.57,7.7,0.04,0.35,2.17,2.34,2.67,0.1,70.32,2.48,15.97,129.57,73.84,13.66,65.01,76.13,155.13,146.15,115.29,25.46,120.27,9.91,19.12,0.16,2.39,3.66,8.13,5054.39,2.6,0.75,44.21,11.5,7.44,47.64,71.98,7.46,27.31,5.52,1.41,0.78,4.85,4.31,0.87,2.41,0.39,2.54,0.41
"346-U1430A-15H-4,103-104",140.01,8827.93,57.64,15.23,0.59,4.86,0.03,0.33,2.1,1.93,2.69,0.07,68.17,2.41,16.73,156.43,108.37,22.61,62.2,76.52,206.42,112.55,77.98,20.64,121.49,11.95,5.99,1.17,2.28,2.99,7.98,306.72,2.64,0.69,29.14,9.47,11.24,11.42,51.38,4.22,16.41,3.47,0.72,0.49,3.06,2.79,0.55,1.63,0.26,1.68,0.27
