depth_cmJPC56,depth_cmGGC55,age_calkaBP,Al%-s,Fe%-s,Mg%-s,Ca%-s,Na%-s,K%-s,P%-s,Ti%-s,Mn ppm,Be ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,V ppm,Zn ppm,As ppm,Sc ppm,Sr ppm,Ba ppm,Y ppm,Zr ppm,Mo ppm,Cd ppm,La ppm,Pb ppm,Li ppm,carb%-s,toc%
59,279,5.15,4.33,1.91,1.27,5.58,3.77,1.32,0.07,0.17,193,0.8,41,6,37,31,93,89,12,6.5,365,409,11,55,20,2,14,11,29,11.17,3.02
69,289,5.25,4.81,2.09,1.51,4.07,3.94,1.48,0.09,0.21,198,1.4,48,7,40,34,86,104,12,7.1,295,443,12.9,68.7,15,2,15.9,10,36,7.42,3.64
79,299,5.36,4.94,2.2,1.43,6.52,3.66,1.48,0.09,0.2,208,1,46,7,44,37,105,97,16,7.4,424,463,12,63,16,2,16,14,33,12.5,3.61
89,309,5.47,4.19,1.59,1.4,5.27,4.09,1.3,0.08,0.17,168,0.8,40,5,35,30,94,80,9,6.3,338,249,11,54,10,2,14,11,29,12.92,2.91
109,329,5.69,3.47,1.44,1.48,1.3,4.29,1.09,0.08,0.15,133,1.1,38,5,31,30,81,75,5,5.2,149,220,8.9,52.7,8,1,11.6,8,26,1.92,2.91
119,339,5.8,4.49,1.7,1.45,4.59,4.62,1.37,0.08,0.18,172,0.9,40,6,33,29,99,82,11,6.6,317,298,11,57,8,1,14,12,29,8.67,2.91
129,349,5.9,4.81,1.82,1.61,1.77,4.51,1.46,0.08,0.19,171,1,44,6,37,32,108,95,13,7.3,199,393,12,62,8,2,16,14,31,4.33,2.66
139,359,6.01,3.25,1.34,1.28,0.94,4.02,1.07,0.06,0.14,118,1,35,4,28,26,82,71,4,4.9,128,255,8.6,50.5,8,2,10.9,8,26,0,2.75
147,367,6.1,4.21,1.58,1.41,3.88,4.14,1.26,0.08,0.16,156,0.8,40,5,34,26,95,80,12,6.2,283,370,10,55,8,2,14,12,27,7.33,2.64
159,379,6.23,4.58,1.69,1.38,2.79,4.09,1.36,0.07,0.18,195,0.9,41,6,35,30,106,90,13,6.9,229,394,12,60,9,1,16,13,30,4.17,2.71
169,389,6.34,4.99,1.99,1.51,4.29,3.57,1.54,0.08,0.21,201,1.5,42,6,34,31,93,87,7,7.4,292,429,11.9,73.6,6,1,15.7,10,39,8.67,2.91
179,399,6.44,4.47,1.59,1.46,1,4.49,1.38,0.07,0.18,158,1,41,5,36,29,103,82,10,6.9,156,365,11,58,8,2,15,14,29,0.25,3.19
189,409,6.55,5.38,1.95,1.62,1.78,4.5,1.66,0.09,0.21,192,1.1,48,7,40,34,110,99,13,8,198,465,13,66,8,2,18,15,36,2.42,3.33
197,417,6.64,3.87,1.52,1.37,1.52,3.7,1.21,0.08,0.16,153,1.2,37,5,29,25,83,77,5,5.7,161,292,10.1,55.1,7,2,12.9,9,28,2.25,2.81
209,429,6.77,4.65,1.67,1.48,1.77,4.39,1.37,0.07,0.18,167,0.9,37,6,33,28,93,83,10,6.7,188,378,10,64,8,1,14,13,29,2.42,2.56
219,439,6.88,5.13,1.77,1.57,1.18,4.41,1.55,0.18,0.2,174,1.1,48,6,40,32,114,99,10,8,183,408,14,67,9,2,18,16,34,0.42,3.45
